repeticao,tempo_loop_a_s,tempo_loop_b_s,razao_b_a
1,1.473937787000068,1.2850103019999324,0.8718212622904097
2,1.2059271209999451,1.2612788629999159,1.0458997405697896
3,1.2203480969999418,1.2998749889999317,1.065167383138873
4,1.2260819439999295,1.5404004200000827,1.2563600887675834
5,1.3642037990000517,1.2993750530000625,0.952478694130959
6,1.2187834100000146,1.3060059330000513,1.0715652365173198
7,1.2871557350000558,1.3501900270000533,1.0489717679733563
8,1.2441001170000163,1.3023644380000405,1.046832501825111
9,1.2210894759999746,1.3179624770000373,1.0793332535445295
10,1.28748825699995,1.4007344600000806,1.0879590181769985
11,1.2752922239999407,1.380180170000017,1.0822462052431374
12,1.3038871390000395,1.6363842990000421,1.2550045552677183
13,1.2321152499999926,1.5276918819999992,1.2398936560520686
14,1.5345222900000408,2.302895984000088,1.500725013254794
15,2.1836523879999277,2.2584149690000004,1.0342374003348354
16,1.483009303000017,1.2976345429999583,0.8750009459650324
17,1.402736783000023,1.6307045349999498,1.1625164141717121
18,1.4595905459999585,1.784471028999974,1.222583301796766
19,1.4964278359999525,1.256051333000073,0.8393664584304839
20,1.3877669700000297,1.6666850929999555,1.2009833992517633
21,1.717125253000063,1.5192906670000639,0.8847873294890086
22,1.2546521390000862,1.7786562169999343,1.417648893834
23,1.6653357140000935,2.6315130350000118,1.5801696996452357
24,2.2942623420000245,1.769501623999986,0.7712725748954332
25,1.5597585829999616,1.7191868059999251,1.102213396827942
26,1.2855509490000259,1.4868747169999779,1.1566050479419372
27,1.213644195000029,1.3569006520000357,1.1180382665613156
28,1.2783058869999877,1.3782387870001003,1.078176046137628
29,1.387624376999952,1.315510148000044,0.9480304395085513
30,1.3304066250000233,1.6114310880000176,1.211232008108791
